GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.shared.web,CorrelationFilter,70,0,6,0,10,0,5,0,2,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.shared.web,GlobalExceptionHandler.ErrorBody,18,0,0,0,1,0,1,0,1,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.shared.web,ResponseDispatcher,58,0,2,0,3,0,2,0,1,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.shared.web,GlobalExceptionHandler,64,0,5,0,7,0,6,0,3,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.account,AccountModels.Expedient,0,15,0,0,0,1,0,1,0,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.account,AccountMapperImpl,30,51,4,2,10,15,4,3,1,3
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.account,AccountCommandService,159,16,12,0,21,6,9,2,3,2
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.account,AccountModels.Account,0,15,0,0,0,1,0,1,0,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.account,AccountModels.Financial,15,0,0,0,1,0,1,0,1,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.account,AccountQueryService,18,42,0,0,1,3,2,5,2,5
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.account,AccountModels,9,19,0,0,1,2,1,2,1,2
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client.events,ClientEventListener,49,13,0,0,9,5,3,2,3,2
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.account.web,AccountApiController,149,46,4,0,12,5,5,3,3,3
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.interfaces.clientenrichment.api,ApiUtil,27,0,0,0,9,0,2,0,2,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.interfaces.clientenrichment.api,EnrichmentApi,254,15,36,0,76,3,25,3,7,3
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.shared.kernel,CorrelationId,27,0,4,0,5,0,5,0,3,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.shared.kernel,DomainError.Validation,9,0,0,0,1,0,1,0,1,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.shared.kernel,Result,198,0,8,0,17,0,17,0,13,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.shared.kernel,DomainError.NotFound,9,0,0,0,1,0,1,0,1,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.shared.kernel,ClientId,21,0,4,0,4,0,4,0,2,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.shared.kernel,DomainException,11,0,0,0,2,0,2,0,2,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.shared.kernel,DomainError,91,0,6,0,8,0,6,0,2,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.shared.kernel,Result.Failure,6,0,0,0,1,0,1,0,1,0
